matchId,snackId,quantity
1,1,224
1,2,20
1,3,9
1,4,17
1,5,5
1,6,18
2,1,543
2,2,4
2,3,4
2,4,32
2,5,5
2,6,32
3,1,162
3,2,11
3,3,6
3,4,17
3,5,1
3,6,13
1003,1,81
1003,2,10
1003,3,5
1003,4,9
1003,5,0
1003,6,6
1003,1002,16
2002,1,69
2002,2,5
2002,3,1
2002,4,2
2002,5,0
2002,6,6
2002,1002,6
3002,1,104
3002,2,14
3002,3,9
3002,4,9
3002,6,4
3002,1002,3
4002,1,234
4002,2,8
4002,3,5
4002,4,17
4002,5,0
4002,6,7
4002,1002,11
4003,1,289
4003,2,14
4003,3,12
4003,4,16
4003,5,0
4003,6,14
4003,1002,2
4004,1,370
4004,2,4
4004,3,5
4004,4,18
4004,5,0
4004,6,6
4004,1002,13
4005,1,184
4005,2,7
4005,3,4
4005,4,21
4005,5,6
4005,6,9
4005,1002,16
4006,1,42
4006,2,2
4006,3,4
4006,4,3
4006,5,0
4006,6,3
4006,1002,0
4007,1,147
4007,2,11
4007,3,4
4007,4,11
4007,5,1
4007,6,3
4007,1002,1
4008,1,122
4008,2,0
4008,3,4
4008,4,1
4008,5,0
4008,6,4
4008,1002,9
4009,1,309
4009,2,2
4009,3,22
4009,4,3
4009,5,53
4009,6,6
4009,1002,2
